epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,82.2621,0.89918,0.90605,1.54454,0.75108,0.02667,1,0.31768,0.23901,0.02667,1,0.32223,0.20194,0.94859,0.8284,2.77204,0.80546,0.0004832,0.0004832,0.0004832
42,84.0007,1.02009,1.00336,1.45221,0.78355,0.02667,1,0.27732,0.19904,0.02667,1,0.27511,0.17817,0.95945,0.8451,2.75579,0.80178,0.000487162,0.000487162,0.000487162
43,85.9351,0.88125,1.20844,1.08376,0.8671,0.02667,1,0.27732,0.19904,0.02667,1,0.27511,0.17817,0.95945,0.8451,2.75579,0.80178,0.000490728,0.000490728,0.000490728
44,87.3958,1.6633,1.67363,1.18651,0.96428,0.02667,1,0.27732,0.19904,0.02667,1,0.27511,0.17817,0.95945,0.8451,2.75579,0.80178,0.000493898,0.000493898,0.000493898
45,92.1609,0.97454,1.40197,0.9227,0.85176,0.02667,1,0.27732,0.19904,0.02667,1,0.27511,0.17817,0.95945,0.8451,2.75579,0.80178,0.000496672,0.000496672,0.000496672
46,94.8106,1.50356,1.80721,1.06461,0.93501,0.02667,1,0.21337,0.15234,0.02667,1,0.21337,0.13579,0.94729,0.86137,2.75852,0.80252,0.00049905,0.00049905,0.00049905
47,98.5719,0.84515,1.17913,0.89625,0.74415,0.02667,1,0.21337,0.15234,0.02667,1,0.21337,0.13579,0.94729,0.86137,2.75852,0.80252,0.000501032,0.000501032,0.000501032
48,100.5,0.97124,1.39698,1.26013,0.97486,0.02667,1,0.21337,0.15234,0.02667,1,0.21337,0.13579,0.94729,0.86137,2.75852,0.80252,0.000502618,0.000502618,0.000502618
49,101.853,0.76494,1.39546,1.10026,0.86861,0.02667,1,0.21337,0.15234,0.02667,1,0.21337,0.13579,0.94729,0.86137,2.75852,0.80252,0.000503808,0.000503808,0.000503808
50,106.163,0.82153,1.13361,0.82204,0.86215,0.02667,1,0.15963,0.09677,0.02667,1,0.14398,0.08314,1.07107,0.86725,2.79474,0.82025,0.000504602,0.000504602,0.000504602
51,109.367,0.77866,0.85612,0.81298,0.90578,0.02667,1,0.15963,0.09677,0.02667,1,0.14398,0.08314,1.07107,0.86725,2.79474,0.82025,0.000505,0.000505,0.000505
52,112.059,1.25461,1.26203,1.52885,0.97838,0.02667,1,0.15963,0.09677,0.02667,1,0.14398,0.08314,1.07107,0.86725,2.79474,0.82025,0.000505002,0.000505002,0.000505002
53,113.899,0.85895,1.03755,1.02036,0.79117,0.02667,1,0.15963,0.09677,0.02667,1,0.14398,0.08314,1.07107,0.86725,2.79474,0.82025,0.000504608,0.000504608,0.000504608
54,115.714,0.94399,0.94291,0.95766,0.8283,0.02667,1,0.15963,0.09677,0.02667,1,0.14398,0.08314,1.07107,0.86725,2.79474,0.82025,0.000503818,0.000503818,0.000503818
55,118.336,1.33688,1.48232,1.19437,0.91532,0.02667,1,0.15199,0.08877,0.02667,1,0.11604,0.07249,1.1783,0.78751,2.78353,0.83441,0.000502632,0.000502632,0.000502632
56,120.147,1.23284,1.36627,1.02616,0.81517,0.02667,1,0.15199,0.08877,0.02667,1,0.11604,0.07249,1.1783,0.78751,2.78353,0.83441,0.00050105,0.00050105,0.00050105
57,121.864,0.91044,1.06082,0.86507,0.98961,0.02667,1,0.15199,0.08877,0.02667,1,0.11604,0.07249,1.1783,0.78751,2.78353,0.83441,0.000499072,0.000499072,0.000499072
58,123.539,1.34935,2.20196,2.27936,0.79155,0.02667,1,0.15199,0.08877,0.02667,1,0.11604,0.07249,1.1783,0.78751,2.78353,0.83441,0.000496698,0.000496698,0.000496698
59,126.154,0.69103,0.92152,0.79409,0.70992,0.02667,1,0.15199,0.08877,0.02667,1,0.11604,0.07249,1.1783,0.78751,2.78353,0.83441,0.000493928,0.000493928,0.000493928
60,127.996,1.05604,0.80269,0.94245,0.82825,0.02667,1,0.14676,0.08873,0.02667,1,0.12299,0.06805,1.06348,0.76026,2.69413,0.82298,0.000490762,0.000490762,0.000490762
61,129.383,0.89902,0.69339,1.06869,0.89178,0.02667,1,0.14676,0.08873,0.02667,1,0.12299,0.06805,1.06348,0.76026,2.69413,0.82298,0.0004872,0.0004872,0.0004872
62,130.764,0.92246,0.73552,0.90035,0.9199,0.02667,1,0.14676,0.08873,0.02667,1,0.12299,0.06805,1.06348,0.76026,2.69413,0.82298,0.000483242,0.000483242,0.000483242
